name,neighbourhood,room_type,bedrooms,bathrooms,accommodates,minimum_nights,price,availability_365,number_of_reviews,review_score,latitude,longitude,is_superhost
GREAT LOCATION SPECTACULAR VIEWS + BALCONY,Loop,Entire home/apt,1.0,1.0,2,31,120.0,365,25,94.0,41.88618,-87.61888,1
Magnolia Airbnb,Edgewater,Private room,1.0,1.5,2,4,80.0,294,84,99.0,41.98705,-87.66228000000002,1
Luxury finishes in vintage wood trimmed apartment,Near West Side,Private room,1.0,1.0,2,1,87.0,1,31,93.0,41.86759,-87.68204,1
"The Bucktown Penthouse Family, Business, Friends",Logan Square,Entire home/apt,3.0,2.0,10,1,78.0,0,106,94.0,41.91432,-87.6737,0
Grand Vintage Lincoln Park Penthouse 3 Bedrooms,Lincoln Park,Entire home/apt,3.0,1.0,6,1,92.0,58,113,95.0,41.93227,-87.64879,1
GROCERY STORE DOWNSTAIRS | KING SIZE BED | BALCONY,Near South Side,Entire home/apt,1.0,1.0,4,31,100.0,365,15,96.0,41.85445,-87.62432,1
Sweet Spacious Suite: Country in the City,Morgan Park,Entire home/apt,1.0,1.0,4,2,79.0,111,133,96.0,41.68612,-87.67735,1
"Cozy ""Faux"" Cabin Suite /Fireplace",Morgan Park,Entire home/apt,2.0,1.0,4,30,89.0,0,142,96.0,41.68582,-87.68066999999998,1
"1 Bed/Bath. Near Lake, Zoo, Wrigley",Lincoln Park,Entire home/apt,1.0,1.0,2,3,110.0,365,74,94.0,41.92985,-87.64353,1
"Luxury Two Bedroom, Two Bathroom Apartment",Lake View,Entire home/apt,2.0,2.0,4,3,289.0,365,13,88.0,41.94278,-87.67220999999998,0
#54-Home away from home- Safe place,Dunning,Private room,1.0,1.0,2,3,33.0,365,22,97.0,41.94435,-87.79969,0
Urban Farm + Bikes in Roscoe Village,North Center,Entire home/apt,2.0,1.0,9,2,119.0,0,170,98.0,41.94795,-87.68314000000002,1
"Relax in a Custom, Creative, Artsy, Unique Apartment in West Town",West Town,Entire home/apt,1.0,1.0,3,28,84.0,339,150,98.0,41.89425,-87.68468,1
Gorgeous Penthouse with Stunning Views from Private Rooftop,West Town,Entire home/apt,2.0,2.0,5,2,139.0,107,105,99.0,41.90243,-87.67028,1
West Loop Modern Urban Retreat,Near West Side,Private room,1.0,1.0,1,4,136.0,365,57,99.0,41.88523,-87.65195,1
The Red Room,West Lawn,Private room,1.0,1.0,2,1,34.0,357,315,97.0,41.78355,-87.72894000000002,1
"Cozy Wicker Park, Chicago Apartment",West Town,Entire home/apt,1.0,1.0,2,1,159.0,0,269,100.0,41.90289,-87.66996999999998,1
